"","mean","std","mode","std/mean","max","min","attack","file"
"569",96.22,0.657267069006197,97,0.00683087787368735,97,95.4,0,"bis_limpio_21-06.csv"
"570",95.74,0.230217288664425,95.7,0.00240460924028019,96.1,95.5,0,"bis_limpio_21-06.csv"
"571",94.4,0.833666600026654,93.8,0.0088312139833332,95.5,93.8,0,"bis_limpio_21-06.csv"
"572",93.58,0.204939015319188,93.8,0.00218998734044869,93.8,93.4,0,"bis_limpio_21-06.csv"
"573",93.46,0.167332005306811,93.6,0.00179041306769539,93.6,93.2,0,"bis_limpio_21-06.csv"
"574",93.54,0.439317652729775,93.5,0.004696575291103,94,92.9,0,"bis_limpio_21-06.csv"
"575",93.86,0.49799598391955,93.2,0.00530573176986523,94.4,93.2,0,"bis_limpio_21-06.csv"
"576",94.98,0.0447213595499933,95,0.000470850279532462,95,94.9,0,"bis_limpio_21-06.csv"
"577",95,0.173205080756884,95.1,0.00182321137638825,95.1,94.7,0,"bis_limpio_21-06.csv"
"578",95.04,0.134164078649986,95.1,0.0014116590767044,95.1,94.8,0,"bis_limpio_21-06.csv"
"579",95.04,0.134164078649986,95.1,0.0014116590767044,95.1,94.8,0,"bis_limpio_21-06.csv"
"580",95.04,0.21908902300207,95.2,0.00230522961912952,95.2,94.8,0,"bis_limpio_21-06.csv"
"581",95.02,0.0447213595499933,95,0.000470652068511821,95.1,95,0,"bis_limpio_21-06.csv"
"582",95.3,0,95.3,0,95.3,95.3,0,"bis_limpio_21-06.csv"
"583",95,0.474341649025256,95,0.00499306998973954,95.7,94.4,0,"bis_limpio_21-06.csv"
"584",96.8,0.223606797749979,96.9,0.00230998758006177,96.9,96.4,0,"bis_limpio_21-06.csv"
"585",96.92,0.0447213595499933,96.9,0.000461425500928531,97,96.9,0,"bis_limpio_21-06.csv"
"586",97.14,0.0894427190999937,97.2,0.000920760954292708,97.2,97,0,"bis_limpio_21-06.csv"
"587",97.28,0.0447213595499933,97.3,0.000459717923005687,97.3,97.2,0,"bis_limpio_21-06.csv"
"588",97.3,0,97.3,0,97.3,97.3,0,"bis_limpio_21-06.csv"
"589",97.26,0.114017542509917,97.3,0.00117229634495082,97.4,97.1,0,"bis_limpio_21-06.csv"
"590",97.16,0.0547722557505213,97.2,0.000563732562273788,97.2,97.1,0,"bis_limpio_21-06.csv"
"591",97.06,0.151657508881029,97.2,0.00156251297013218,97.2,96.9,0,"bis_limpio_21-06.csv"
"592",97.06,0.0894427190999865,97.1,0.000921519875334705,97.1,96.9,0,"bis_limpio_21-06.csv"
"593",96.56,0.536656314599944,97.1,0.00555774973695054,97.1,95.9,0,"bis_limpio_21-06.csv"
"594",96.04,0.0894427190999865,96.1,0.000931306946064,96.1,95.9,0,"bis_limpio_21-06.csv"
"595",96.04,0.0894427190999929,96,0.000931306946064066,96.2,96,0,"bis_limpio_21-06.csv"
"596",96.54,0.622896460095895,97.1,0.00645221110519883,97.1,95.7,0,"bis_limpio_21-06.csv"
"597",97.18,0.0447213595499996,97.2,0.000460190981168961,97.2,97.1,0,"bis_limpio_21-06.csv"
"598",97.16,0.0547722557505213,97.2,0.000563732562273788,97.2,97.1,0,"bis_limpio_21-06.csv"
"599",97.2,0.100000000000001,97.1,0.00102880658436215,97.3,97.1,0,"bis_limpio_21-06.csv"
"600",97.3,0,97.3,0,97.3,97.3,0,"bis_limpio_21-06.csv"
"601",97.3,0,97.3,0,97.3,97.3,0,"bis_limpio_21-06.csv"
"602",97.36,0.0894427190999937,97.3,0.000918680352300674,97.5,97.3,0,"bis_limpio_21-06.csv"
"603",97.4,0,97.4,0,97.4,97.4,0,"bis_limpio_21-06.csv"
"604",97.34,0.0547722557505213,97.3,0.000562690114552304,97.4,97.3,0,"bis_limpio_21-06.csv"
"605",97.2,0,97.2,0,97.2,97.2,0,"bis_limpio_21-06.csv"
"606",97.24,0.0547722557505135,97.2,0.000563268775714865,97.3,97.2,0,"bis_limpio_21-06.csv"
"607",97.14,0.0894427190999937,97.2,0.000920760954292708,97.2,97,0,"bis_limpio_21-06.csv"
"608",96.8,0,96.8,0,96.8,96.8,0,"bis_limpio_21-06.csv"
