"","time_date","bis","entropy","emg","attack"
"1","06/09/2022 19:44:53","97.2","5.2","43.9",0
"2","06/09/2022 19:44:54","97.2","5.4","43.5",0
"3","06/09/2022 19:44:55","97.2","5.1","42.9",0
"4","06/09/2022 19:44:56","97.1","5.2","43",0
"5","06/09/2022 19:44:57","97","5.3","42.6",0
"6","06/09/2022 19:44:58","96.5","5.2","43.2",0
"7","06/09/2022 19:44:59","95.7","5.1","43.6",0
"8","06/09/2022 19:45:00","94.9","5.5","44.2",0
"9","06/09/2022 19:45:01","94.9","5.6","44.3",0
"10","06/09/2022 19:45:02","94.9","5.3","44.3",0
"11","06/09/2022 19:45:03","95","5.3","44.2",0
"12","06/09/2022 19:45:04","94.4","5.2","44.4",0
"13","06/09/2022 19:45:05","94.5","4.9","44.5",0
"14","06/09/2022 19:45:06","94.4","5","44.5",0
"15","06/09/2022 19:45:07","94.2","5.2","44.1",0
"16","06/09/2022 19:45:08","94.3","5.5","44.2",0
"17","06/09/2022 19:45:09","93.8","4.8","43.7",0
"18","06/09/2022 19:45:10","93.6","5.2","43.5",0
"19","06/09/2022 19:45:11","93.6","5.2","43.7",0
"20","06/09/2022 19:45:12","93","5.7","43.8",0
"21","06/09/2022 19:45:13","93.1","5.3","43.4",0
"22","06/09/2022 19:45:14","92.9","5.5","43.3",0
"23","06/09/2022 19:45:15","92.8","5.7","43.6",0
"24","06/09/2022 19:45:16","92.6","5.2","43.9",0
"25","06/09/2022 19:45:17","92.5","5.5","44.3",0
"26","06/09/2022 19:45:18","92.9","5.2","43.8",0
"27","06/09/2022 19:45:19","93.3","5.6","44.1",0
"28","06/09/2022 19:45:20","93.6","5.6","44",0
"29","06/09/2022 19:45:21","93.6","5.5","43.8",0
"30","06/09/2022 19:45:22","93.6","5.4","44.8",0
"31","06/09/2022 19:45:23","93.3","5.3","45.8",0
"32","06/09/2022 19:45:24","93.5","5.3","45.5",0
"33","06/09/2022 19:45:25","93.9","5.5","45.4",0
"34","06/09/2022 19:45:26","94.9","5.7","45.3",0
"35","06/09/2022 19:45:27","94.9","5.7","44",0
"36","06/09/2022 19:45:28","94.4","5.3","43.5",0
"37","06/09/2022 19:45:29","94.1","5.5","43.4",0
"38","06/09/2022 19:45:30","93.2","5.8","43.8",0
"39","06/09/2022 19:45:31","93.2","5.6","44.2",0
"40","06/09/2022 19:45:32","93.9","5.4","45.1",0
"41","06/09/2022 19:45:33","93.9","5.8","45.5",0
"42","06/09/2022 19:45:34","93.9","5.3","45.7",0
"43","06/09/2022 19:45:35","93.9","5.5","45.6",0
"44","06/09/2022 19:45:36","94.2","5.3","45.4",0
"45","06/09/2022 19:45:37","93.7","5.6","45.2",0
"46","06/09/2022 19:45:38","93.6","5.5","45.5",0
"47","06/09/2022 19:45:39","93.5","5.6","45.7",0
"48","06/09/2022 19:45:40","93.6","5.6","45.6",0
"49","06/09/2022 19:45:41","93.6","5.3","45.5",0
"50","06/09/2022 19:45:42","93.6","5.3","45",0
"51","06/09/2022 19:45:43","93.6","5.3","44.3",0
"52","06/09/2022 19:45:44","94.8","5.7","43.8",0
"53","06/09/2022 19:45:45","94.8","5.4","43.3",0
"54","06/09/2022 19:45:46","95.2","5.5","43.9",0
"55","06/09/2022 19:45:47","95.2","5.3","43.9",0
"56","06/09/2022 19:45:48","95.2","5.6","43.5",0
"57","06/09/2022 19:45:49","94.8","5.2","43.9",0
"58","06/09/2022 19:45:50","94.6","5.5","43.6",0
"59","06/09/2022 19:45:51","95","5.7","42.8",0
