"","time_date","bis","entropy","emg","attack"
"1","05/26/2022 20:23:10","97.6","8.9","47.2",0
"2","05/26/2022 20:23:11","97.6","9.3","47.2",0
"3","05/26/2022 20:23:12","97.6","9.6","48.1",0
"4","05/26/2022 20:23:13","97.6","9.4","48.7",0
"5","05/26/2022 20:23:14","97.6","9","48.2",0
"6","05/26/2022 20:23:15","97.6","10.2","48.3",0
"7","05/26/2022 20:23:16","97.6","9.1","47.5",0
"8","05/26/2022 20:23:17","97.6","9.6","46.4",0
"9","05/26/2022 20:23:18","97.6","9.8","45.2",0
"10","05/26/2022 20:23:19","97.6","9.3","45.1",0
"11","05/26/2022 20:23:20","97.6","9.5","45.1",0
"12","05/26/2022 20:23:21","97.6","9.3","45.7",0
"13","05/26/2022 20:23:22","97.6","9.4","45.8",0
"14","05/26/2022 20:23:23","97.6","9.2","46.3",0
"15","05/26/2022 20:23:24","97.6","9.3","46.3",0
"16","05/26/2022 20:23:25","97.6","10.1","46.1",0
"17","05/26/2022 20:23:26","97.6","9.5","45.7",0
"18","05/26/2022 20:23:27","97.6","9.2","45.7",0
"19","05/26/2022 20:23:28","97.6","9.6","49.6",0
"20","05/26/2022 20:23:29","97.6","9.9","50.1",0
"21","05/26/2022 20:23:30","97.6","7.4","50.3",0
"22","05/26/2022 20:23:31","97.6","9.6","50.9",0
"23","05/26/2022 20:23:32","97.6","9.9","52",0
"24","05/26/2022 20:23:33","97.6","9.7","49.4",0
"25","05/26/2022 20:23:34","97.7","9.7","49.6",0
"26","05/26/2022 20:23:35","97.7","8.9","49.9",0
"27","05/26/2022 20:23:36","97.7","9.7","50.1",0
"28","05/26/2022 20:23:37","97.7","9","49.2",0
"29","05/26/2022 20:23:38","97.7","10","47.6",0
"30","05/26/2022 20:23:39","97.7","9.5","48.4",0
"31","05/26/2022 20:23:40","97.7","9.2","49.4",0
"32","05/26/2022 20:23:41","97.7","9.9","50.2",0
"33","05/26/2022 20:23:42","97.7","8.6","52.2",0
"34","05/26/2022 20:23:43","97.7","9.3","54.3",0
"35","05/26/2022 20:23:44","97.7","8.3","54.9",0
"36","05/26/2022 20:23:45","97.7","8.6","55.2",0
"37","05/26/2022 20:23:46","97.7","9.8","57.5",0
"38","05/26/2022 20:23:47","97.7","9.6","57.6",0
"39","05/26/2022 20:23:48","97.7","12.7","57.1",0
"40","05/26/2022 20:23:49","97.7","8.1","55.7",0
"41","05/26/2022 20:23:50","97.7","10.6","54.5",0
"42","05/26/2022 20:23:51","97.7","8.7","51.1",0
"43","05/26/2022 20:23:52","97.7","9.3","49.2",0
"44","05/26/2022 20:23:53","97.7","9.1","48.5",0
"45","05/26/2022 20:23:54","97.6","9.4","48.1",0
"46","05/26/2022 20:23:55","97.6","9.5","47.6",0
"47","05/26/2022 20:23:56","97.6","9.4","47.1",0
"48","05/26/2022 20:23:57","97.7","9.4","46.9",0
"49","05/26/2022 20:23:58","97.7","9.5","46.2",0
"50","05/26/2022 20:23:59","97.7","9.8","45.8",0
"51","05/26/2022 20:24:00","97.7","9.5","46",0
"52","05/26/2022 20:24:01","97.7","9.5","45.9",0
"53","05/26/2022 20:24:02","97.7","9.5","45.4",0
"54","05/26/2022 20:24:03","97.7","9.6","45.7",0
